time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading,.flag
2023/12/06/15:25:49.583919,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023/12/06/15:25:49.982296,1,0,0,,0.04872391059119636,0.27408721672740854,0.057597300257239886,0.031038404465527327,2.9998885259364956,0.0,0.0,0.0,0
2023/12/06/15:25:50.379934,2,0,0,,0.04966387602328552,0.2935645765000988,0.07592701431740596,0.030371024278016436,3.0477861655057086,0.0,0.0,0.0,0
2023/12/06/15:25:50.778716,3,0,0,,0.053120353717237744,0.3036997024283983,0.09911964843691967,0.03277564847111507,3.0707667571178283,0.0,0.0,0.0,0
2023/12/06/15:25:51.177038,4,0,0,,0.14921943055317097,0.5618215699462314,0.14646219208973948,0.17902772815016207,3.0992030604485534,0.0,0.0,0.0,0
2023/12/06/15:25:51.575175,5,0,0,,0.16898612056185164,0.38877814359008217,0.2582448725274665,0.3462046110595687,3.1238647465879725,0.0,0.0,0.0,0
2023/12/06/15:25:51.973533,6,0,0,,0.2,0.7362843856309409,0.36322056226393534,0.5395725604318229,3.174941552978637,0.0,0.0,0.0,0
2023/12/06/15:25:52.372514,7,0,0,,0.11887388609028442,0.4086656810872676,0.19034280104926876,0.23127438014261922,3.120389603245483,0.0,0.0,0.0,0
2023/12/06/15:25:52.770985,8,0,0,,0.17472813266671244,0.6086467586790099,0.3991981010241926,0.6182476046998119,3.193081455996867,0.0,0.0,0.0,0
2023/12/06/15:25:53.169113,9,0,0,,0.16373249153174438,0.5870976299034082,0.36146880413974497,0.7033055540660017,3.202283097522682,0.0,0.0,0.0,0
2023/12/06/15:25:53.567588,10,0,0,,0.15338435473152873,0.5597589326312792,0.27834281346890627,0.7983049999006153,3.230133556387033,0.0,0.0,0.0,0
2023/12/06/15:25:53.966214,11,0,0,,0.1849372801781252,0.6336327353606819,0.364413365144937,0.9364156183499199,3.3157041085032484,0.0,0.0,0.0,0
2023/12/06/15:25:54.364153,12,0,0,,0.2,0.643306176003591,0.36901427313339047,1.089434122656085,3.348163109240607,0.0,0.0,0.0,0
