time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/06/15:26:12.173411,"(6.435768377114673,)","(0.4128483283851214,)","(0.3439206150664587,)","(6.435768377114673,)","(5.208470101229834,)",0.0,0.0,0.0
2023/12/06/15:26:12.572218,"(6.5886049599882055,)","(0.4607135868433341,)","(0.35978419452637384,)","(6.5886049599882055,)","(5.256916869668773,)",0.0,0.0,0.0
2023/12/06/15:26:12.970538,"(6.740756885013106,)","(0.45898897685755585,)","(0.3690463921967971,)","(6.740756885013106,)","(5.29875270415452,)",0.0,0.0,0.0
2023/12/06/15:26:13.368140,"(6.870581916808431,)","(0.41284584430503773,)","(0.3515917175936042,)","(6.870581916808431,)","(5.350232395769006,)",0.0,0.0,0.0
2023/12/06/15:26:13.766590,"(7.006401845586147,)","(0.43520697740694886,)","(0.33536088466144004,)","(7.006401845586147,)","(5.406863808054359,)",0.0,0.0,0.0
2023/12/06/15:26:14.164416,"(7.144308766876641,)","(0.44829607957185436,)","(0.3314649193731153,)","(7.144308766876641,)","(5.467706000717687,)",0.0,0.0,0.0
2023/12/06/15:26:14.562094,"(7.27066276907974,)","(0.4200746932621526,)","(0.33144103379266066,)","(7.27066276907974,)","(5.502983691956615,)",0.0,0.0,0.0
2023/12/06/15:26:14.960482,"(7.417570822421576,)","(0.4447472271753357,)","(0.3349001356236745,)","(7.417570822421576,)","(5.5456752790388695,)",0.0,0.0,0.0
2023/12/06/15:26:15.358819,"(7.564588153065121,)","(0.4560176847016307,)","(0.33601456483237496,)","(7.564588153065121,)","(5.597345942561892,)",0.0,0.0,0.0
2023/12/06/15:26:15.756936,"(7.66670373540035,)","(0.3998485563985551,)","(0.3313972323798256,)","(7.66670373540035,)","(5.65514861281105,)",0.0,0.0,0.0
2023/12/06/15:26:16.154548,"(7.796810414281424,)","(0.42020130723646015,)","(0.3239563980156374,)","(7.796810414281424,)","(5.723899289360746,)",0.0,0.0,0.0
2023/12/06/15:26:16.553057,"(7.919045561497608,)","(0.4322195318429691,)","(0.3165265804506015,)","(7.919045561497608,)","(5.779312971056085,)",0.0,0.0,0.0
2023/12/06/15:26:16.951181,"(8.061887456996441,)","(0.44503586753920304,)","(0.32320765227291026,)","(8.061887456996441,)","(5.837519061750677,)",0.0,0.0,0.0
2023/12/06/15:26:17.349905,"(8.143134372445605,)","(0.37585988923412295,)","(0.3182611831418675,)","(8.143134372445605,)","(5.885833644867512,)",0.0,0.0,0.0
2023/12/06/15:26:17.748333,"(8.210505965058768,)","(0.3719241856288868,)","(0.3302041191775587,)","(8.210505965058768,)","(5.914182873791034,)",0.0,0.0,0.0
2023/12/06/15:26:18.147625,"(8.375825386552272,)","(0.4792360199386728,)","(0.33090381313836115,)","(8.375825386552272,)","(5.937915666320622,)",0.0,0.0,0.0
2023/12/06/15:26:18.545145,"(8.482392920177736,)","(0.3923420583763939,)","(0.33193289576832685,)","(8.482392920177736,)","(5.941341546671533,)",0.0,0.0,0.0
2023/12/06/15:26:18.943949,"(8.560747392460492,)","(0.3653116190005002,)","(0.3519574534877107,)","(8.560747392460492,)","(5.9578493592005906,)",0.0,0.0,0.0
2023/12/06/15:26:19.340937,"(8.68471329874145,)","(0.46512386022148333,)","(0.3487315898783768,)","(8.68471329874145,)","(6.021108876749473,)",0.0,0.0,0.0
2023/12/06/15:26:19.739275,"(8.801629248695532,)","(0.4475887395335527,)","(0.3166723147528504,)","(8.801629248695532,)","(6.089986167905195,)",0.0,0.0,0.0
2023/12/06/15:26:20.138585,"(8.913499431716474,)","(0.3593868477458846,)","(0.31577622550020357,)","(8.913499431716474,)","(6.143329023961758,)",0.0,0.0,0.0
2023/12/06/15:26:20.502062,"(8.96683881495319,)","(0.3451879206479783,)","(0.3144101515061484,)","(8.96683881495319,)","(6.181651567317196,)",0.0,0.0,0.0
2023/12/06/15:26:20.899687,"(9.072630907409081,)","(0.4401434284608017,)","(0.26398822401644745,)","(9.072630907409081,)","(6.28451192415363,)",0.0,0.0,0.0
2023/12/06/15:26:21.297922,"(9.219905510398672,)","(0.47930182194080495,)","(0.23677414491072574,)","(9.219905510398672,)","(6.348990347044435,)",0.0,0.0,0.0
2023/12/06/15:26:21.697259,"(9.373845090239607,)","(0.46193015415029515,)","(0.29141842870235973,)","(9.373845090239607,)","(6.373236354916838,)",0.0,0.0,0.0
2023/12/06/15:26:22.094213,"(9.485253495784438,)","(0.37811580405631584,)","(0.2896212553270075,)","(9.485253495784438,)","(6.405240024363709,)",0.0,0.0,0.0
2023/12/06/15:26:22.491916,"(9.562505624358254,)","(0.3534449482207855,)","(0.2698383888496852,)","(9.562505624358254,)","(6.415451313342265,)",0.0,0.0,0.0
2023/12/06/15:26:22.889964,"(9.705529738569572,)","(0.45785479258355666,)","(0.3238890841305785,)","(9.705529738569572,)","(6.42299689230235,)",0.0,0.0,0.0
2023/12/06/15:26:23.287798,"(9.857142415430799,)","(0.4629877482881728,)","(0.34821005632021385,)","(9.857142415430799,)","(6.443781973061659,)",0.0,0.0,0.0
2023/12/06/15:26:23.685570,"(10.007620252991064,)","(0.44031533125985894,)","(0.3348415680220239,)","(10.007620252991064,)","(6.481698929416838,)",0.0,0.0,0.0
2023/12/06/15:26:24.084768,"(10.163004204129917,)","(0.46794821515127505,)","(0.3722333783020249,)","(10.163004204129917,)","(6.538401527984147,)",0.0,0.0,0.0
2023/12/06/15:26:24.482046,"(10.258412626340672,)","(0.388488924728481,)","(0.37270600206905397,)","(10.258412626340672,)","(6.595373646408449,)",0.0,0.0,0.0
2023/12/06/15:26:24.879902,"(10.37896282409992,)","(0.4145044394005339,)","(0.36247071829359245,)","(10.37896282409992,)","(6.6625869050156865,)",0.0,0.0,0.0
2023/12/06/15:26:25.277009,"(10.497462975592885,)","(0.43005188744404893,)","(0.3681459990678536,)","(10.497462975592885,)","(6.722635973692471,)",0.0,0.0,0.0
2023/12/06/15:26:25.675337,"(10.624978876166125,)","(0.43879663019789916,)","(0.3688344094555701,)","(10.624978876166125,)","(6.78535904301299,)",0.0,0.0,0.0
2023/12/06/15:26:26.074379,"(10.723649667426393,)","(0.40216711294518653,)","(0.3612975313773734,)","(10.723649667426393,)","(6.84090237073585,)",0.0,0.0,0.0
2023/12/06/15:26:26.471802,"(10.842803813541712,)","(0.40557475239725393,)","(0.376328103148308,)","(10.842803813541712,)","(6.886114270459786,)",0.0,0.0,0.0
2023/12/06/15:26:26.870022,"(10.975191997216529,)","(0.4247187189720526,)","(0.39070784834477723,)","(10.975191997216529,)","(6.924285052518472,)",0.0,0.0,0.0
2023/12/06/15:26:27.268448,"(11.103715348140506,)","(0.4340723213151527,)","(0.38768839394403554,)","(11.103715348140506,)","(6.962664623156749,)",0.0,0.0,0.0
2023/12/06/15:26:27.667081,"(11.229728748687098,)","(0.41931063943708796,)","(0.3859316102804948,)","(11.229728748687098,)","(7.017391655282723,)",0.0,0.0,0.0
2023/12/06/15:26:28.064911,"(11.35140480901989,)","(0.4044807040215032,)","(0.3900028801331218,)","(11.35140480901989,)","(7.063939213978222,)",0.0,0.0,0.0
2023/12/06/15:26:28.462553,"(11.490797304002621,)","(0.4538502236524401,)","(0.3954537597983937,)","(11.490797304002621,)","(7.112722527954494,)",0.0,0.0,0.0
2023/12/06/15:26:28.860785,"(11.628723350000394,)","(0.43453307650585177,)","(0.3938407199274212,)","(11.628723350000394,)","(7.158066292257734,)",0.0,0.0,0.0
2023/12/06/15:26:29.258749,"(11.769903294571511,)","(0.4318260167218867,)","(0.39023521878579853,)","(11.769903294571511,)","(7.208659061888505,)",0.0,0.0,0.0
2023/12/06/15:26:29.657025,"(11.853279418475395,)","(0.37361802542849015,)","(0.38767469503650437,)","(11.853279418475395,)","(7.217006345067335,)",0.0,0.0,0.0
2023/12/06/15:26:30.055341,"(11.968788536244737,)","(0.3592147151488805,)","(0.37338396204013125,)","(11.968788536244737,)","(7.220868269022648,)",0.0,0.0,0.0
2023/12/06/15:26:30.454062,"(12.093131001776094,)","(0.37834892252746016,)","(0.37955523677649283,)","(12.093131001776094,)","(7.265177657383273,)",0.0,0.0,0.0
2023/12/06/15:26:30.851311,"(12.213485836577767,)","(0.38358768777839114,)","(0.3456780446976536,)","(12.213485836577767,)","(7.318411230769202,)",0.0,0.0,0.0
2023/12/06/15:26:31.249941,"(12.32145374088643,)","(0.2903815981483049,)","(0.32567343635591095,)","(12.32145374088643,)","(7.362176064692845,)",0.0,0.0,0.0
2023/12/06/15:26:31.648386,"(12.412431456927603,)","(0.2795075232862459,)","(0.31102914256736874,)","(12.412431456927603,)","(7.402032819049701,)",0.0,0.0,0.0
2023/12/06/15:26:32.046148,"(12.493026465086858,)","(0.24270885462228953,)","(0.29891993956344776,)","(12.493026465086858,)","(7.424060052226579,)",0.0,0.0,0.0
2023/12/06/15:26:32.433933,"(12.553592358764647,)","(0.21193937405832322,)","(0.23277042736981784,)","(12.553592358764647,)","(7.446764082210673,)",0.0,0.0,0.0
2023/12/06/15:26:32.796727,"(12.571677207545807,)","(0.1398896876606405,)","(0.22380660561034169,)","(12.571677207545807,)","(7.440174394418003,)",0.0,0.0,0.0
2023/12/06/15:26:33.195215,"(12.59793298321459,)","(0.15064852569241713,)","(0.2013695932161082,)","(12.59793298321459,)","(7.427651123754856,)",0.0,0.0,0.0
2023/12/06/15:26:33.593765,"(12.624189437473701,)","(0.017948039613981597,)","(0.1256310406487379,)","(12.624189437473701,)","(7.405900532188633,)",0.0,0.0,0.0
2023/12/06/15:26:33.991923,"(12.655677954356175,)","(0.09047482109361946,)","(0.18351430313163397,)","(12.655677954356175,)","(7.370286195291974,)",0.0,0.0,0.0
2023/12/06/15:26:34.389938,"(12.684807671711326,)","(0.07315043849853245,)","(0.18737268993705078,)","(12.684807671711326,)","(7.351481259862818,)",0.0,0.0,0.0
2023/12/06/15:26:34.788285,"(12.701178388372725,)","(0.046422962288389664,)","(0.14191527906849377,)","(12.701178388372725,)","(7.348806944515735,)",0.0,0.0,0.0
2023/12/06/15:26:35.185930,"(12.70835953880021,)","(-0.009902286098926703,)","(0.11512441866143427,)","(12.70835953880021,)","(7.351061385975426,)",0.0,0.0,0.0
2023/12/06/15:26:35.584275,"(12.709262820925412,)","(0.0027921010388919755,)","(0.08093936887088458,)","(12.709262820925412,)","(7.345276326626771,)",0.0,0.0,0.0
2023/12/06/15:26:35.983050,"(12.708947117565591,)","(-0.03105649284167903,)","(0.05821588589106014,)","(12.708947117565591,)","(7.331538374753681,)",0.0,0.0,0.0
