time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/06/15:25:49.583906,"(-0.01768550594094631,)","(0.0,)","(-8.707712595127161e-05,)","(-0.01768550594094631,)","(2.9998927686745893,)",0.0,0.0,0.0
2023/12/06/15:25:49.982274,"(-0.0192905457131178,)","(-0.014189760604739848,)","(-0.009636715812041362,)","(-0.0192905457131178,)","(3.048264754757521,)",0.0,0.0,0.0
2023/12/06/15:25:50.379918,"(-0.02034432385988124,)","(-0.004881119821364323,)","(0.0037893724159607845,)","(-0.02034432385988124,)","(3.0705654647964646,)",0.0,0.0,0.0
2023/12/06/15:25:50.778705,"(0.029890592083617332,)","(0.277584337866047,)","(0.033212964424965005,)","(0.029890592083617332,)","(3.0942479519248645,)",0.0,0.0,0.0
2023/12/06/15:25:51.177023,"(0.11258767829440297,)","(0.2600370602305461,)","(0.05612591252324713,)","(0.11258767829440297,)","(3.1137212002433747,)",0.0,0.0,0.0
2023/12/06/15:25:51.575166,"(0.20005503650366868,)","(0.27722022605541374,)","(0.12514389022449895,)","(0.20005503650366868,)","(3.1259735320535107,)",0.0,0.0,0.0
2023/12/06/15:25:51.973529,"(0.31896512613450717,)","(0.4368841391981593,)","(0.21494495870879993,)","(0.31896512613450717,)","(3.135965154184597,)",0.0,0.0,0.0
2023/12/06/15:25:52.372492,"(0.454952284451501,)","(0.37425356655165243,)","(0.36375344308007274,)","(0.454952284451501,)","(3.130915880875279,)",0.0,0.0,0.0
2023/12/06/15:25:52.770974,"(0.5490445749938772,)","(0.33394877928790123,)","(0.34180102765377196,)","(0.5490445749938772,)","(3.1474025078857046,)",0.0,0.0,0.0
2023/12/06/15:25:53.169089,"(0.6494846591748642,)","(0.30307597466145214,)","(0.24455737129439967,)","(0.6494846591748642,)","(3.19299507953783,)",0.0,0.0,0.0
2023/12/06/15:25:53.567574,"(0.7625036005359254,)","(0.40669723360363147,)","(0.34703940581147963,)","(0.7625036005359254,)","(3.252804127107804,)",0.0,0.0,0.0
2023/12/06/15:25:53.966206,"(0.9024274023089406,)","(0.48175635229359187,)","(0.3624426331965982,)","(0.9024274023089406,)","(3.277251259209647,)",0.0,0.0,0.0
2023/12/06/15:25:54.364134,"(1.0501759945429703,)","(0.41538101105113434,)","(0.33617020919654106,)","(1.0501759945429703,)","(3.3126635198377943,)",0.0,0.0,0.0
2023/12/06/15:25:54.762124,"(1.1881787710478888,)","(0.4698861164611602,)","(0.3792141279950384,)","(1.1881787710478888,)","(3.364369815935415,)",0.0,0.0,0.0
2023/12/06/15:25:55.161125,"(1.3459565773009086,)","(0.4710489315309127,)","(0.3680550908744125,)","(1.3459565773009086,)","(3.419822991273704,)",0.0,0.0,0.0
2023/12/06/15:25:55.559486,"(1.4901314523314177,)","(0.42157493575734417,)","(0.3633445038811237,)","(1.4901314523314177,)","(3.466336571089416,)",0.0,0.0,0.0
2023/12/06/15:25:55.957656,"(1.5953787904251957,)","(0.38956709463640954,)","(0.3701522414602281,)","(1.5953787904251957,)","(3.520260193784285,)",0.0,0.0,0.0
2023/12/06/15:25:56.356874,"(1.7254071134417104,)","(0.4357484323607001,)","(0.3533170226434836,)","(1.7254071134417104,)","(3.5881692004758303,)",0.0,0.0,0.0
2023/12/06/15:25:56.757622,"(1.8681685573897304,)","(0.4561625103085755,)","(0.34539141888897207,)","(1.8681685573897304,)","(3.6500188100681648,)",0.0,0.0,0.0
2023/12/06/15:25:57.151820,"(1.9720973294100377,)","(0.3907685887874246,)","(0.35926130446223237,)","(1.9720973294100377,)","(3.667476897954032,)",0.0,0.0,0.0
2023/12/06/15:25:57.550576,"(2.082087098856062,)","(0.40148035250043457,)","(0.3684844226473353,)","(2.082087098856062,)","(3.6928509226980917,)",0.0,0.0,0.0
2023/12/06/15:25:57.949189,"(2.223562251900367,)","(0.46102173122199985,)","(0.37053864477770193,)","(2.223562251900367,)","(3.741384879746745,)",0.0,0.0,0.0
2023/12/06/15:25:58.347021,"(2.3702120359753653,)","(0.43689006047064755,)","(0.3786990913115317,)","(2.3702120359753653,)","(3.791924755857661,)",0.0,0.0,0.0
2023/12/06/15:25:58.746205,"(2.518232082462587,)","(0.44020971083730676,)","(0.36670365267018323,)","(2.518232082462587,)","(3.8479646437486323,)",0.0,0.0,0.0
2023/12/06/15:25:59.145087,"(2.6679237498003965,)","(0.46479366312745807,)","(0.35729570847592146,)","(2.6679237498003965,)","(3.9107912981279522,)",0.0,0.0,0.0
2023/12/06/15:25:59.544106,"(2.817122746187821,)","(0.44363709441232163,)","(0.36392777583661684,)","(2.817122746187821,)","(3.96461808883358,)",0.0,0.0,0.0
2023/12/06/15:25:59.942423,"(2.958874139572121,)","(0.42665712236313924,)","(0.3636433054676683,)","(2.958874139572121,)","(4.018407076235089,)",0.0,0.0,0.0
2023/12/06/15:26:00.340310,"(3.0931953206212457,)","(0.42913395345772953,)","(0.3701641134948229,)","(3.0931953206212457,)","(4.05716871095526,)",0.0,0.0,0.0
2023/12/06/15:26:00.738499,"(3.2385745980714438,)","(0.4431502320454902,)","(0.3842825669785438,)","(3.2385745980714438,)","(4.098693325086335,)",0.0,0.0,0.0
2023/12/06/15:26:01.136509,"(3.3543604080393505,)","(0.4056671949507654,)","(0.38476332083333065,)","(3.3543604080393505,)","(4.1180493753848415,)",0.0,0.0,0.0
2023/12/06/15:26:01.534567,"(3.490849781354357,)","(0.4117664981345189,)","(0.38294319790834636,)","(3.490849781354357,)","(4.147369485414707,)",0.0,0.0,0.0
2023/12/06/15:26:01.931929,"(3.6299779791566986,)","(0.45195732731191685,)","(0.4041504219059968,)","(3.6299779791566986,)","(4.188728732723782,)",0.0,0.0,0.0
2023/12/06/15:26:02.330668,"(3.723350750284443,)","(0.38859880915100237,)","(0.396922195925033,)","(3.723350750284443,)","(4.237888726457132,)",0.0,0.0,0.0
2023/12/06/15:26:02.728380,"(3.8426948717161467,)","(0.38619949424461064,)","(0.3808670642350035,)","(3.8426948717161467,)","(4.305021370834322,)",0.0,0.0,0.0
2023/12/06/15:26:03.125792,"(3.9772986539292043,)","(0.45666321662131615,)","(0.375033635453797,)","(3.9772986539292043,)","(4.365655261377953,)",0.0,0.0,0.0
2023/12/06/15:26:03.488196,"(4.037197189712846,)","(0.3926268082298138,)","(0.39154941183181136,)","(4.037197189712846,)","(4.369124458699094,)",0.0,0.0,0.0
2023/12/06/15:26:03.885479,"(4.12114551270578,)","(0.439098501989956,)","(0.40759189835082077,)","(4.12114551270578,)","(4.371981263773531,)",0.0,0.0,0.0
2023/12/06/15:26:04.283223,"(4.241317574911771,)","(0.3925130267014602,)","(0.4459545694275027,)","(4.241317574911771,)","(4.382461753386401,)",0.0,0.0,0.0
2023/12/06/15:26:04.681908,"(4.369371431403292,)","(0.3967505457464548,)","(0.46018083766624135,)","(4.369371431403292,)","(4.405313554410371,)",0.0,0.0,0.0
2023/12/06/15:26:05.079705,"(4.5007332008152074,)","(0.448067249245061,)","(0.45295126795035834,)","(4.5007332008152074,)","(4.455061943580718,)",0.0,0.0,0.0
2023/12/06/15:26:05.477576,"(4.647837256515898,)","(0.4716018934027862,)","(0.43321976171128707,)","(4.647837256515898,)","(4.5195476338484895,)",0.0,0.0,0.0
2023/12/06/15:26:05.875375,"(4.782816726855752,)","(0.4030497900793805,)","(0.4166016942840831,)","(4.782816726855752,)","(4.568514082858928,)",0.0,0.0,0.0
2023/12/06/15:26:06.272624,"(4.887690834506898,)","(0.4025921077964593,)","(0.4123340592195606,)","(4.887690834506898,)","(4.625010021860465,)",0.0,0.0,0.0
2023/12/06/15:26:06.670650,"(5.017003592003884,)","(0.4458838234230647,)","(0.38866911930983605,)","(5.017003592003884,)","(4.6971915014570085,)",0.0,0.0,0.0
2023/12/06/15:26:07.068214,"(5.102607305610173,)","(0.39489355955417355,)","(0.37641603145146346,)","(5.102607305610173,)","(4.76006413331366,)",0.0,0.0,0.0
2023/12/06/15:26:07.466569,"(5.2094689402300105,)","(0.3974355355301184,)","(0.3582693793503685,)","(5.2094689402300105,)","(4.828736230981454,)",0.0,0.0,0.0
2023/12/06/15:26:07.864020,"(5.354182703107822,)","(0.4821757978325245,)","(0.3457628781028962,)","(5.354182703107822,)","(4.883299532990898,)",0.0,0.0,0.0
2023/12/06/15:26:08.262466,"(5.50753861898607,)","(0.4592968801030167,)","(0.3611875351212058,)","(5.50753861898607,)","(4.921383998680223,)",0.0,0.0,0.0
2023/12/06/15:26:08.623842,"(5.560024498543565,)","(0.3901120351129817,)","(0.34757085201988686,)","(5.560024498543565,)","(4.954356806798861,)",0.0,0.0,0.0
2023/12/06/15:26:09.022141,"(5.6080484005341456,)","(0.3954715174636969,)","(0.36250574921665,)","(5.6080484005341456,)","(4.984253659948159,)",0.0,0.0,0.0
2023/12/06/15:26:09.420518,"(5.73699508526069,)","(0.4211765629644746,)","(0.34783367621364725,)","(5.73699508526069,)","(5.0182577419988945,)",0.0,0.0,0.0
2023/12/06/15:26:09.818525,"(5.809669290013428,)","(0.3675683612196718,)","(0.35218182113263663,)","(5.809669290013428,)","(5.0197818437495645,)",0.0,0.0,0.0
2023/12/06/15:26:10.216650,"(5.884321917964454,)","(0.3887163454989474,)","(0.3637412327302511,)","(5.884321917964454,)","(5.024325281328217,)",0.0,0.0,0.0
2023/12/06/15:26:10.630361,"(6.021629849677581,)","(0.44046936052286856,)","(0.36519015016869194,)","(6.021629849677581,)","(5.061582650725592,)",0.0,0.0,0.0
2023/12/06/15:26:10.978649,"(6.128062977179234,)","(0.39737421046367155,)","(0.35639164553529906,)","(6.128062977179234,)","(5.109522775792408,)",0.0,0.0,0.0
2023/12/06/15:26:11.376617,"(6.198558670829882,)","(0.38391270815682743,)","(0.3778753262184514,)","(6.198558670829882,)","(5.13187094507182,)",0.0,0.0,0.0
2023/12/06/15:26:11.774566,"(6.310469333147824,)","(0.42657330951632894,)","(0.3626730272514918,)","(6.310469333147824,)","(5.162783533369161,)",0.0,0.0,0.0
