time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/07/12:16:21.478218,"(-0.015345850695486591,)","(0.0,)","(0.0005491552760497367,)","(-0.015345850695486591,)","(2.9998993886933407,)",0.0,0.0,0.0
2023/12/07/12:16:21.876891,"(-0.015409732752299754,)","(-0.008298308256484874,)","(-0.005284051001835604,)","(-0.015409732752299754,)","(3.046359245086091,)",0.0,0.0,0.0
2023/12/07/12:16:22.275619,"(-0.018098318978898898,)","(-0.0022724653492650886,)","(0.00014838876466885293,)","(-0.018098318978898898,)","(3.059874710133844,)",0.0,0.0,0.0
2023/12/07/12:16:22.673234,"(0.026269914314781602,)","(0.26884166255048453,)","(0.07618126402414607,)","(0.026269914314781602,)","(3.0626694254932154,)",0.0,0.0,0.0
2023/12/07/12:16:23.070960,"(0.09691695905697868,)","(0.2213873534462562,)","(0.09944554477431568,)","(0.09691695905697868,)","(3.066559146002602,)",0.0,0.0,0.0
2023/12/07/12:16:23.469036,"(0.17105736838221378,)","(0.265297893420553,)","(0.1279496616278504,)","(0.17105736838221378,)","(3.0751286490430543,)",0.0,0.0,0.0
2023/12/07/12:16:23.867495,"(0.27945470725605437,)","(0.48452399065133595,)","(0.1689437412341343,)","(0.27945470725605437,)","(3.093241727686269,)",0.0,0.0,0.0
2023/12/07/12:16:24.265603,"(0.4340998926644188,)","(0.4603784042207137,)","(0.27464598059566964,)","(0.4340998926644188,)","(3.1152232041327648,)",0.0,0.0,0.0
2023/12/07/12:16:24.664479,"(0.5605144427764508,)","(0.2768273448682672,)","(0.3831549263676467,)","(0.5605144427764508,)","(3.1343980452939357,)",0.0,0.0,0.0
2023/12/07/12:16:25.062739,"(0.6915010534707124,)","(0.5965776690859106,)","(0.3890377579643727,)","(0.6915010534707124,)","(3.150214147260775,)",0.0,0.0,0.0
2023/12/07/12:16:25.460676,"(0.8497829146051981,)","(0.42279735122153195,)","(0.31885459605293814,)","(0.8497829146051981,)","(3.1952539605951458,)",0.0,0.0,0.0
2023/12/07/12:16:25.859502,"(0.9929029124622515,)","(0.5374903379513324,)","(0.3845743029960737,)","(0.9929029124622515,)","(3.251687894176173,)",0.0,0.0,0.0
2023/12/07/12:16:26.258071,"(1.1516302337088475,)","(0.3535879640555528,)","(0.46043746834053134,)","(1.1516302337088475,)","(3.2962233016493996,)",0.0,0.0,0.0
2023/12/07/12:16:26.656083,"(1.3140379327047165,)","(0.5832097376527765,)","(0.42004358777168066,)","(1.3140379327047165,)","(3.3425897156063473,)",0.0,0.0,0.0
