time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/07/12:16:27.054731,"(1.4744246200332334,)","(0.415296405576399,)","(0.4284084443783974,)","(1.4744246200332334,)","(3.418709592887576,)",0.0,0.0,0.0
2023/12/07/12:16:27.452736,"(1.6408569340020174,)","(0.6439689023309586,)","(0.5014721122172152,)","(1.6408569340020174,)","(3.4913837682533053,)",0.0,0.0,0.0
2023/12/07/12:16:27.850617,"(1.7966439138087105,)","(0.3266547751426675,)","(0.5317121135413678,)","(1.7966439138087105,)","(3.5567039428626215,)",0.0,0.0,0.0
2023/12/07/12:16:28.250162,"(1.914983778421781,)","(0.4401687558616984,)","(0.48352772469559835,)","(1.914983778421781,)","(3.5960962816721467,)",0.0,0.0,0.0
2023/12/07/12:16:28.649361,"(2.035119256715881,)","(0.41261975358076175,)","(0.4248949600617064,)","(2.035119256715881,)","(3.6543775261317024,)",0.0,0.0,0.0
2023/12/07/12:16:29.046968,"(2.1979852964420052,)","(0.6280479086471411,)","(0.41205480936581723,)","(2.1979852964420052,)","(3.7472954255354205,)",0.0,0.0,0.0
2023/12/07/12:16:29.445431,"(2.3467348507766275,)","(0.32308888421477244,)","(0.4730370618703791,)","(2.3467348507766275,)","(3.8245475872304664,)",0.0,0.0,0.0
2023/12/07/12:16:29.843765,"(2.5023095765594374,)","(0.5649458450871382,)","(0.48779539581457215,)","(2.5023095765594374,)","(3.8828002813249918,)",0.0,0.0,0.0
2023/12/07/12:16:30.241789,"(2.6127627803118716,)","(0.4373570024306314,)","(0.46565568926754003,)","(2.6127627803118716,)","(3.95526584928808,)",0.0,0.0,0.0
2023/12/07/12:16:30.640607,"(2.7634349898586237,)","(0.5924633496261088,)","(0.42816278689403814,)","(2.7634349898586237,)","(4.063083133663792,)",0.0,0.0,0.0
2023/12/07/12:16:31.038296,"(2.9045803410316697,)","(0.4537854005368267,)","(0.43591338850883377,)","(2.9045803410316697,)","(4.157018689171976,)",0.0,0.0,0.0
2023/12/07/12:16:31.436046,"(3.076840909332055,)","(0.6899745947815731,)","(0.4634113730886208,)","(3.076840909332055,)","(4.252410924547261,)",0.0,0.0,0.0
2023/12/07/12:16:31.834805,"(3.1973072624545757,)","(0.3558848164903753,)","(0.48898375699676266,)","(3.1973072624545757,)","(4.3345308130780005,)",0.0,0.0,0.0
2023/12/07/12:16:32.244580,"(3.3292400160189826,)","(0.5954369552377831,)","(0.4785674011099835,)","(3.3292400160189826,)","(4.395826923131803,)",0.0,0.0,0.0
2023/12/07/12:16:32.629858,"(3.5114906607614373,)","(0.5954835290693766,)","(0.4145220761623939,)","(3.5114906607614373,)","(4.477853465804177,)",0.0,0.0,0.0
2023/12/07/12:16:33.027580,"(3.637746212852321,)","(0.36906264432339353,)","(0.439152516121848,)","(3.637746212852321,)","(4.529353748769804,)",0.0,0.0,0.0
2023/12/07/12:16:33.425776,"(3.7424969837782336,)","(0.4439010035887392,)","(0.45925124473231094,)","(3.7424969837782336,)","(4.579129368399855,)",0.0,0.0,0.0
2023/12/07/12:16:33.823464,"(3.888149220277159,)","(0.5345951684071459,)","(0.3936078262107212,)","(3.888149220277159,)","(4.656134954186985,)",0.0,0.0,0.0
2023/12/07/12:16:34.221477,"(4.022771127244809,)","(0.4670382464337907,)","(0.3626796781778858,)","(4.022771127244809,)","(4.737304597302974,)",0.0,0.0,0.0
2023/12/07/12:16:34.619358,"(4.135837748380823,)","(0.3761464649202739,)","(0.41406026129363704,)","(4.135837748380823,)","(4.7947360375123385,)",0.0,0.0,0.0
2023/12/07/12:16:35.017043,"(4.26690183112821,)","(0.44186433412413845,)","(0.41217767206009137,)","(4.26690183112821,)","(4.844080330936673,)",0.0,0.0,0.0
2023/12/07/12:16:35.414880,"(4.420531057305017,)","(0.4956051372444785,)","(0.40417480231276787,)","(4.420531057305017,)","(4.925348548513723,)",0.0,0.0,0.0
2023/12/07/12:16:35.812489,"(4.51483457450265,)","(0.4396899559908514,)","(0.39931413708686087,)","(4.51483457450265,)","(4.9944330569784015,)",0.0,0.0,0.0
2023/12/07/12:16:36.212175,"(4.665406794108905,)","(0.5223315653415826,)","(0.3442606458178411,)","(4.665406794108905,)","(5.098446710737502,)",0.0,0.0,0.0
2023/12/07/12:16:36.608457,"(4.7331535420162,)","(0.43045899692551115,)","(0.3496635614219444,)","(4.7331535420162,)","(5.157613312933185,)",0.0,0.0,0.0
2023/12/07/12:16:37.007433,"(4.839930553457233,)","(0.5124248980455728,)","(0.33237198863229966,)","(4.839930553457233,)","(5.250053129761026,)",0.0,0.0,0.0
2023/12/07/12:16:37.405747,"(4.954629661749702,)","(0.41466054101348887,)","(0.26460790937104817,)","(4.954629661749702,)","(5.334026630956121,)",0.0,0.0,0.0
2023/12/07/12:16:37.803183,"(5.089668306161967,)","(0.557001958351313,)","(0.25009487532171876,)","(5.089668306161967,)","(5.406335736359189,)",0.0,0.0,0.0
2023/12/07/12:16:38.201103,"(5.263513433332112,)","(0.4974908168046425,)","(0.32956989828744176,)","(5.263513433332112,)","(5.4639524271466815,)",0.0,0.0,0.0
2023/12/07/12:16:38.599427,"(5.435883767360561,)","(0.5357159748007773,)","(0.3526212669997965,)","(5.435883767360561,)","(5.500728060556064,)",0.0,0.0,0.0
2023/12/07/12:16:38.997938,"(5.5741188661414816,)","(0.5044755219502131,)","(0.28316145255950087,)","(5.5741188661414816,)","(5.551224427410584,)",0.0,0.0,0.0
2023/12/07/12:16:39.396014,"(5.714151109656605,)","(0.42293344488667467,)","(0.24788856557068825,)","(5.714151109656605,)","(5.606944451047967,)",0.0,0.0,0.0
2023/12/07/12:16:39.794170,"(5.853408652467493,)","(0.514178971664929,)","(0.33278998621738937,)","(5.853408652467493,)","(5.6560012410681315,)",0.0,0.0,0.0
2023/12/07/12:16:40.192334,"(6.011672206022516,)","(0.5217430432972402,)","(0.33340303246439756,)","(6.011672206022516,)","(5.685884243619569,)",0.0,0.0,0.0
2023/12/07/12:16:40.590255,"(6.179881606902676,)","(0.5296807192893932,)","(0.3066485363916956,)","(6.179881606902676,)","(5.729186741827315,)",0.0,0.0,0.0
2023/12/07/12:16:40.989359,"(6.36146755945081,)","(0.5471105373811288,)","(0.3235491857746975,)","(6.36146755945081,)","(5.791902447064356,)",0.0,0.0,0.0
2023/12/07/12:16:41.389850,"(6.541298932670125,)","(0.513411592071332,)","(0.32730144364192454,)","(6.541298932670125,)","(5.849046687632265,)",0.0,0.0,0.0
2023/12/07/12:16:41.787441,"(6.64763293130961,)","(0.4381361771128831,)","(0.31334237657784925,)","(6.64763293130961,)","(5.857694643330238,)",0.0,0.0,0.0
2023/12/07/12:16:42.186383,"(6.815966392955569,)","(0.53361972615917,)","(0.2868391113273911,)","(6.815966392955569,)","(5.858276342931555,)",0.0,0.0,0.0
2023/12/07/12:16:42.584338,"(7.001110473870909,)","(0.5818315564869944,)","(0.30843690365817855,)","(7.001110473870909,)","(5.901903625474055,)",0.0,0.0,0.0
2023/12/07/12:16:42.946280,"(7.061104724332431,)","(0.4600362539116544,)","(0.2818659387438885,)","(7.061104724332431,)","(5.940800012251692,)",0.0,0.0,0.0
2023/12/07/12:16:43.344230,"(7.111718162128033,)","(0.48576673214880595,)","(0.3196678050840801,)","(7.111718162128033,)","(5.973278016072198,)",0.0,0.0,0.0
2023/12/07/12:16:43.745476,"(7.236197667513171,)","(0.38857951582177247,)","(0.35405086114240036,)","(7.236197667513171,)","(6.004966681571682,)",0.0,0.0,0.0
2023/12/07/12:16:44.141800,"(7.360421837500918,)","(0.37833744088637455,)","(0.2969121277437995,)","(7.360421837500918,)","(6.029395673101298,)",0.0,0.0,0.0
2023/12/07/12:16:44.540536,"(7.482337452077148,)","(0.5176535251189895,)","(0.23221678110557625,)","(7.482337452077148,)","(6.073018644942614,)",0.0,0.0,0.0
2023/12/07/12:16:44.938646,"(7.6261077794403835,)","(0.41020603645735254,)","(0.2618977551669127,)","(7.6261077794403835,)","(6.126130504138565,)",0.0,0.0,0.0
2023/12/07/12:16:45.336267,"(7.753265564195764,)","(0.43438080446922867,)","(0.32061221815784846,)","(7.753265564195764,)","(6.166672623032715,)",0.0,0.0,0.0
2023/12/07/12:16:45.733851,"(7.912075200822642,)","(0.5264400609067669,)","(0.256539660113504,)","(7.912075200822642,)","(6.219815486861567,)",0.0,0.0,0.0
2023/12/07/12:16:46.132249,"(8.073841266090254,)","(0.5612823105914333,)","(0.20645343750899872,)","(8.073841266090254,)","(6.29044008284988,)",0.0,0.0,0.0
2023/12/07/12:16:46.530813,"(8.240471512146152,)","(0.4934901711956028,)","(0.23597319927222107,)","(8.240471512146152,)","(6.354474436178183,)",0.0,0.0,0.0
2023/12/07/12:16:46.928941,"(8.391586133491522,)","(0.5006259304531896,)","(0.24455376503081144,)","(8.391586133491522,)","(6.404801057736891,)",0.0,0.0,0.0
2023/12/07/12:16:47.327565,"(8.467503375142002,)","(0.41965143228031215,)","(0.24890354475923954,)","(8.467503375142002,)","(6.405004625141496,)",0.0,0.0,0.0
2023/12/07/12:16:47.726652,"(8.572433491799822,)","(0.5014069853615015,)","(0.23503579569489436,)","(8.572433491799822,)","(6.401643108494451,)",0.0,0.0,0.0
2023/12/07/12:16:48.124629,"(8.740144243889608,)","(0.5090262344516872,)","(0.2885176666074353,)","(8.740144243889608,)","(6.417125197497361,)",0.0,0.0,0.0
2023/12/07/12:16:48.522740,"(8.904197843030456,)","(0.4485353460705034,)","(0.3040826762439547,)","(8.904197843030456,)","(6.440462256756666,)",0.0,0.0,0.0
2023/12/07/12:16:48.920306,"(9.038840245310773,)","(0.45218093279607635,)","(0.27835972869807457,)","(9.038840245310773,)","(6.461621736732724,)",0.0,0.0,0.0
2023/12/07/12:16:49.318181,"(9.1681009584611,)","(0.4687233980363068,)","(0.32158978011966144,)","(9.1681009584611,)","(6.499512054427212,)",0.0,0.0,0.0
2023/12/07/12:16:49.717031,"(9.281782362676571,)","(0.4358871602453976,)","(0.31039021005547107,)","(9.281782362676571,)","(6.51576904910949,)",0.0,0.0,0.0
2023/12/07/12:16:50.115568,"(9.431177487333558,)","(0.47445374613297786,)","(0.31218039845960416,)","(9.431177487333558,)","(6.543175265294243,)",0.0,0.0,0.0
2023/12/07/12:16:50.514483,"(9.56619178202701,)","(0.4921015989297498,)","(0.328576399063972,)","(9.56619178202701,)","(6.572745826726948,)",0.0,0.0,0.0
