time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/06/18:41:03.511782,"(6.530883211676565,)","(0.47384819012924445,)","(0.3146866122027048,)","(6.530883211676565,)","(5.585234945412393,)",0.0,0.0,0.0
2023/12/06/18:41:03.909859,"(6.615653318327539,)","(0.3835908792977795,)","(0.31701919727334454,)","(6.615653318327539,)","(5.607815250521233,)",0.0,0.0,0.0
2023/12/06/18:41:04.308175,"(6.764838213683672,)","(0.47372524381283376,)","(0.3216756947803531,)","(6.764838213683672,)","(5.61882284966007,)",0.0,0.0,0.0
2023/12/06/18:41:04.706315,"(6.926177964081471,)","(0.4823655858866168,)","(0.33164500328846613,)","(6.926177964081471,)","(5.669053797041356,)",0.0,0.0,0.0
2023/12/06/18:41:05.104383,"(7.0274451107896905,)","(0.39071039733984175,)","(0.3293069905340545,)","(7.0274451107896905,)","(5.730780843291372,)",0.0,0.0,0.0
2023/12/06/18:41:05.502373,"(7.1455033088528195,)","(0.4179279860046714,)","(0.32094260224231913,)","(7.1455033088528195,)","(5.785736553871274,)",0.0,0.0,0.0
2023/12/06/18:41:05.899870,"(7.260965953609043,)","(0.4436316701743329,)","(0.32434229639209283,)","(7.260965953609043,)","(5.829761173547178,)",0.0,0.0,0.0
2023/12/06/18:41:06.298439,"(7.3870062289328535,)","(0.4223051413969542,)","(0.33293983528965837,)","(7.3870062289328535,)","(5.867191130103179,)",0.0,0.0,0.0
2023/12/06/18:41:06.696187,"(7.497397051443889,)","(0.39869557695387975,)","(0.3208302587838469,)","(7.497397051443889,)","(5.903307683635333,)",0.0,0.0,0.0
2023/12/06/18:41:07.094752,"(7.618855296563594,)","(0.4287001006919328,)","(0.331082252120671,)","(7.618855296563594,)","(5.939363979292798,)",0.0,0.0,0.0
2023/12/06/18:41:07.492816,"(7.773635819264106,)","(0.4740904347201411,)","(0.348800147908117,)","(7.773635819264106,)","(5.970319722384531,)",0.0,0.0,0.0
2023/12/06/18:41:07.891435,"(7.8833920600732705,)","(0.39707106578576784,)","(0.3446488876904943,)","(7.8833920600732705,)","(5.97695791947022,)",0.0,0.0,0.0
2023/12/06/18:41:08.290636,"(8.039188558303255,)","(0.48566898720989893,)","(0.3257382868515577,)","(8.039188558303255,)","(5.976574170801099,)",0.0,0.0,0.0
2023/12/06/18:41:08.687932,"(8.207384127692167,)","(0.4924115357418761,)","(0.37337680288785297,)","(8.207384127692167,)","(6.017800676201087,)",0.0,0.0,0.0
2023/12/06/18:41:09.086148,"(8.340354497599424,)","(0.4080049264696645,)","(0.35159875330883655,)","(8.340354497599424,)","(6.073128509695422,)",0.0,0.0,0.0
2023/12/06/18:41:09.484303,"(8.479843063396297,)","(0.4390427873178212,)","(0.3299920071840648,)","(8.479843063396297,)","(6.135637189413056,)",0.0,0.0,0.0
2023/12/06/18:41:09.881454,"(8.593681376418104,)","(0.42316299209792013,)","(0.3408874563090427,)","(8.593681376418104,)","(6.1970289852803715,)",0.0,0.0,0.0
2023/12/06/18:41:10.278755,"(8.721966642220659,)","(0.44739390839749243,)","(0.31354607796583706,)","(8.721966642220659,)","(6.256719662818714,)",0.0,0.0,0.0
2023/12/06/18:41:10.677078,"(8.850034702472405,)","(0.45304799631250336,)","(0.2926738347192266,)","(8.850034702472405,)","(6.322533621066459,)",0.0,0.0,0.0
2023/12/06/18:41:11.075485,"(8.98851180743066,)","(0.44824058540983097,)","(0.3109179068553126,)","(8.98851180743066,)","(6.3848317074827605,)",0.0,0.0,0.0
2023/12/06/18:41:11.472892,"(9.126560335644443,)","(0.4505176060726874,)","(0.29800885424857304,)","(9.126560335644443,)","(6.438629173045713,)",0.0,0.0,0.0
2023/12/06/18:41:11.872354,"(9.277381519710952,)","(0.4467696149302235,)","(0.28632287871590606,)","(9.277381519710952,)","(6.495819994447176,)",0.0,0.0,0.0
2023/12/06/18:41:12.270929,"(9.424982729102613,)","(0.4411073613561663,)","(0.28311547651566504,)","(9.424982729102613,)","(6.549795195432915,)",0.0,0.0,0.0
2023/12/06/18:41:12.669800,"(9.535905034103322,)","(0.39073873459107633,)","(0.2730314424530841,)","(9.535905034103322,)","(6.56511285335014,)",0.0,0.0,0.0
2023/12/06/18:41:13.067626,"(9.662319025900045,)","(0.4338611093434159,)","(0.2777308210441814,)","(9.662319025900045,)","(6.591574382453988,)",0.0,0.0,0.0
2023/12/06/18:41:13.466043,"(9.786326514765049,)","(0.4297349573313192,)","(0.284903629931945,)","(9.786326514765049,)","(6.618715236617046,)",0.0,0.0,0.0
2023/12/06/18:41:13.864452,"(9.927265461185478,)","(0.43898632924976105,)","(0.28861050146903733,)","(9.927265461185478,)","(6.649357719596285,)",0.0,0.0,0.0
2023/12/06/18:41:14.263304,"(10.075588817094095,)","(0.4643040696979231,)","(0.2973923896382224,)","(10.075588817094095,)","(6.6913574075466045,)",0.0,0.0,0.0
2023/12/06/18:41:14.661447,"(10.190170682791061,)","(0.4138128055338983,)","(0.30920336572476415,)","(10.190170682791061,)","(6.739747087671592,)",0.0,0.0,0.0
2023/12/06/18:41:15.060701,"(10.32927768579831,)","(0.47329788998966793,)","(0.32023067725243937,)","(10.32927768579831,)","(6.803028075669726,)",0.0,0.0,0.0
2023/12/06/18:41:15.458507,"(10.4733479741326,)","(0.46713444953405553,)","(0.3102889786391982,)","(10.4733479741326,)","(6.862106678741808,)",0.0,0.0,0.0
2023/12/06/18:41:15.856360,"(10.61927672031363,)","(0.45220012746557736,)","(0.32384154855516867,)","(10.61927672031363,)","(6.9123682078565984,)",0.0,0.0,0.0
2023/12/06/18:41:16.253909,"(10.75094031442095,)","(0.4280740343911791,)","(0.3347524520592353,)","(10.75094031442095,)","(6.96127751382002,)",0.0,0.0,0.0
2023/12/06/18:41:16.652599,"(10.88474421559974,)","(0.45293630798154527,)","(0.3261045655707151,)","(10.88474421559974,)","(7.004336749703908,)",0.0,0.0,0.0
2023/12/06/18:41:17.050472,"(11.026079193581904,)","(0.45293414955005873,)","(0.33439774149937695,)","(11.026079193581904,)","(7.0492000549152865,)",0.0,0.0,0.0
